title|link|summary|published|id
PA Senate Session Notes for January 03, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230103.pdf|Compiled summary of Senate session activity for January 03, 2023|Tue, 03 Jan 2023 20:59:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230103.pdf20230103035900
PA Senate Session Notes for January 06, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230106.pdf|Compiled summary of Senate session activity for January 06, 2023|Fri, 06 Jan 2023 20:55:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230106.pdf20230106035500
PA Senate Session Notes for January 09, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230109.pdf|Compiled summary of Senate session activity for January 09, 2023|Mon, 09 Jan 2023 21:48:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230109.pdf20230109044800
PA Senate Session Notes for January 09, 2023 (Special Session 1)|https://www.legis.state.pa.us/WU01/LI/SN/2023/1/20230109.pdf|Compiled summary of Senate session activity for January 09, 2023 (Special Session 1)|Mon, 09 Jan 2023 17:17:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/1/20230109.pdf20230109121700
PA Senate Session Notes for January 10, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230110.pdf|Compiled summary of Senate session activity for January 10, 2023|Tue, 10 Jan 2023 22:17:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230110.pdf20230110051700
PA Senate Session Notes for January 11, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230111.pdf|Compiled summary of Senate session activity for January 11, 2023|Wed, 11 Jan 2023 21:25:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230111.pdf20230111042500
PA Senate Session Notes for January 13, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230113.pdf|Compiled summary of Senate session activity for January 13, 2023|Fri, 13 Jan 2023 15:16:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230113.pdf20230113101600
PA Senate Session Notes for January 17, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230117.pdf|Compiled summary of Senate session activity for January 17, 2023|Tue, 17 Jan 2023 17:47:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230117.pdf20230117124700
PA Senate Session Notes for January 18, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230118.pdf|Compiled summary of Senate session activity for January 18, 2023|Wed, 18 Jan 2023 16:54:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230118.pdf20230118115400
PA Senate Session Notes for February 27, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230227.pdf|Compiled summary of Senate session activity for February 27, 2023|Tue, 28 Feb 2023 17:21:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230227.pdf20230228122100
PA Senate Session Notes for February 28, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230228.pdf|Compiled summary of Senate session activity for February 28, 2023|Tue, 28 Feb 2023 22:25:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230228.pdf20230228052500
PA Senate Session Notes for March 01, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230301.pdf|Compiled summary of Senate session activity for March 01, 2023|Wed, 01 Mar 2023 18:03:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230301.pdf20230301010300
PA Senate Session Notes for March 06, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230306.pdf|Compiled summary of Senate session activity for March 06, 2023|Mon, 06 Mar 2023 22:12:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230306.pdf20230306051200
PA Senate Session Notes for March 07, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230307.pdf|Compiled summary of Senate session activity for March 07, 2023|Tue, 07 Mar 2023 21:20:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230307.pdf20230307042000
PA Senate Session Notes for March 08, 2023|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230308.pdf|Compiled summary of Senate session activity for March 08, 2023|Wed, 08 Mar 2023 18:15:00 GMT|https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230308.pdf20230308011500
