title|link|summary|parss_primesponsor|parss_cosponsors|parss_lastaction|parss_enacted|parss_passedhouse|parss_passedsenate|published|id
House Bill 810 Printer's Number 818|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=810&pn=818|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in abortion, further providing for spousal notice.|Representative HANBIDGE|HOHENSTEIN, KINKEAD, KINSEY, SANCHEZ, PROBST, KENYATTA, MADDEN, SCHLOSSBERG, ROZZI, OTTEN, N. NELSON, KHAN and MAYES|Referred to JUDICIARY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 16:04:49 GMT|20230HB810P818
House Bill 802 Printer's Number 817|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=802&pn=817|An Act amending the act of May 22, 1951 (P.L.317, No.69), known as The Professional Nursing Law, providing for performance of reproductive health services on non-Commonwealth residents....|Representative OTTEN|FIEDLER, FRANKEL, HILL-EVANS, KINKEAD, RABB, BURGOS, HOHENSTEIN, MADDEN, SANCHEZ, SCHLOSSBERG, PIELLI, PROBST, D. WILLIAMS, SHUSTERMAN, FLEMING, DEASY, STURLA, FREEMAN, KINSEY, INNAMORATO, BENHAM, N. NELSON, TAKAC, KHAN and MAYES|Referred to PROFESSIONAL LICENSURE,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 16:04:34 GMT|20230HB802P817
House Bill 800 Printer's Number 816|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=800&pn=816|An Act amending the act of May 17, 1921 (P.L.682, No.284), known as The Insurance Company Law of 1921, providing for sharing of reproductive health information....|Representative OTTEN|FIEDLER, FRANKEL, HILL-EVANS, KINKEAD, RABB, BURGOS, HOHENSTEIN, MADDEN, SANCHEZ, SCHLOSSBERG, PIELLI, PROBST, D. WILLIAMS, SHUSTERMAN, FLEMING, DEASY, STURLA, FREEMAN, KINSEY, KRAJEWSKI, N. NELSON, INNAMORATO, TAKAC and MAYES|Referred to INSURANCE,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 16:04:17 GMT|20230HB800P816
House Resolution 65 Printer's Number 815|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=65&pn=815|A Resolution directing the Joint State Government Commission to conduct a study on the current status of bat species located in this Commonwealth and management and conservation efforts that have been undertaken to protect and bolster bat populations and to issue a report of its findings and recommendations to the General Assembly....|Representative HOWARD|RABB, MADDEN, SANCHEZ, SAPPEY, KHAN, BRENNAN and JAMES|Referred to GAME AND FISHERIES,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:58:54 GMT|20230HR65P815
House Bill 841 Printer's Number 814|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=841&pn=814|An Act amending Title 44 (Law and Justice) of the Pennsylvania Consolidated Statutes, in DNA data and testing, further providing for policy, for definitions, for DNA sample required upon conviction, delinquency adjudication and certain ARD cases, for collection from persons accepted from other jurisdictions, for expungement and for mandatory cost....|Representative HOWARD|SANCHEZ, MADDEN, KHAN and KRAJEWSKI|Referred to JUDICIARY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:58:13 GMT|20230HB841P814
House Bill 840 Printer's Number 813|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=840&pn=813|An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, providing for building permits and endangered and threatened species; and making an appropriation....|Representative HOWARD|SANCHEZ, MADDEN, McNEILL, CIRESI, HILL-EVANS, KINSEY, GUENST and SHUSTERMAN|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:57:50 GMT|20230HB840P813
House Bill 839 Printer's Number 812|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=839&pn=812|An Act amending the act of December 5, 1936 (2nd Sp.Sess., 1937 P.L.2897, No.1), known as the Unemployment Compensation Law, in compensation, further providing for qualifications required to secure compensation....|Representative KEEFER|JAMES, HAMM, ROAE, KAUFFMAN, ROWE, ZIMMERMAN, MOUL and LEADBETER|Referred to LABOR AND INDUSTRY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:57:23 GMT|20230HB839P812
House Bill 838 Printer's Number 811|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=838&pn=811|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in theft and related offenses, further providing for the offense of financial exploitation of an older adult or care-dependent person and providing for the offense of financial exploitation of a family or household member and for civil causes of action in cases of financial exploitation; and imposing penalties....|Representative HOWARD|SANCHEZ, PROBST, MADDEN, HILL-EVANS, CERRATO, SHUSTERMAN and PARKER|Referred to JUDICIARY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:56:52 GMT|20230HB838P811
House Bill 837 Printer's Number 810|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=837&pn=810|An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, further providing for penalties.|Representative HOWARD|MADDEN, SANCHEZ, PIELLI, KHAN, BRENNAN, HILL-EVANS and SHUSTERMAN|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:56:29 GMT|20230HB837P810
House Bill 836 Printer's Number 809|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=836&pn=809|An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in representation, providing for recertification....|Representative KEEFER|HAMM, KAUFFMAN, M. JONES, ROWE, ZIMMERMAN and LEADBETER|Referred to LABOR AND INDUSTRY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:56:06 GMT|20230HB836P809
