title|link|summary|published|id
Thursday, April 06, 2023  - Representative Ryan E. Mackenzie|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40441|Protecting Domestic Violence Victims by Providing Unemployment Benefits|Thu, 06 Apr 2023 18:02:02 GMT|40441Protecting Domestic Violence Victims by Providing Unemployment Benefits20230406
Thursday, April 06, 2023  - Representative Danielle Friel Otten|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40438|Student Teacher Stipend Program|Thu, 06 Apr 2023 17:08:25 GMT|40438Student Teacher Stipend Program20230406
Thursday, April 06, 2023  - Representative Kristine C. Howard|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40436|Keeping forever chemicals out of our food|Thu, 06 Apr 2023 16:20:05 GMT|40436Keeping forever chemicals out of our food20230406
Thursday, April 06, 2023  - Representative Donna Scheuren|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40437|School Bus Driver Tax Credit|Thu, 06 Apr 2023 16:12:01 GMT|40437School Bus Driver Tax Credit20230406
Thursday, April 06, 2023  - Representative Jessica Benham|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40435|Improving the Safety of Freight Rail in Pennsylvania|Thu, 06 Apr 2023 16:07:39 GMT|40435Improving the Safety of Freight Rail in Pennsylvania20230406
Thursday, April 06, 2023  - Representative Jeanne McNeill|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40434|Prohibiting the Sale of Flavored Tobacco Products|Thu, 06 Apr 2023 14:45:04 GMT|40434Prohibiting the Sale of Flavored Tobacco Products20230406
Thursday, April 06, 2023  - Representative Valerie S. Gaydos|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40433|Equity in Education|Thu, 06 Apr 2023 14:11:58 GMT|40433Equity in Education20230406
Thursday, April 06, 2023  - Representative Christopher M. Rabb and Representative Darisha K. Parker|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40432|Increasing transparency and accountability for PASSHE and state-related schools|Thu, 06 Apr 2023 13:40:17 GMT|40432Increasing transparency and accountability for PASSHE and state-related schools20230406
Thursday, April 06, 2023  - Representative Ed Neilson and Representative Kerry A. Benninghoff|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40431|Removing the State Police from the Motor License Fund|Thu, 06 Apr 2023 13:39:51 GMT|40431Removing the State Police from the Motor License Fund20230406
Thursday, April 06, 2023  - Representative Christopher M. Rabb|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40430|Commissioning a study on agrivoltaic farming|Thu, 06 Apr 2023 13:27:33 GMT|40430Commissioning a study on agrivoltaic farming20230406
Thursday, April 06, 2023  - Representative Ben Waxman|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40429|Requiring Disclosure Statements in Cryptocurrency Advertisements|Thu, 06 Apr 2023 13:26:35 GMT|40429Requiring Disclosure Statements in Cryptocurrency Advertisements20230406
Thursday, April 06, 2023  - Representative Benjamin V. Sanchez and Representative Patty Kim, Representative Tarah Probst|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40428|Increasing Personal Needs Allowance Deduction|Thu, 06 Apr 2023 13:10:16 GMT|40428Increasing Personal Needs Allowance Deduction20230406
Wednesday, April 05, 2023  - Representative Patty Kim|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40427|Asian American and Pacific Islander Heritage Month|Wed, 05 Apr 2023 19:33:04 GMT|40427Asian American and Pacific Islander Heritage Month20230405
Wednesday, April 05, 2023  - Representative Doyle Heffley|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40421|Removing Burdensome California Cars Regulation|Wed, 05 Apr 2023 17:37:54 GMT|40421Removing Burdensome California Cars Regulation20230405
Wednesday, April 05, 2023  - Representative Dan Frankel|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40420|The Protection of Trans Kids and their Families Act|Wed, 05 Apr 2023 16:46:40 GMT|40420The Protection of Trans Kids and their Families Act20230405
Wednesday, April 05, 2023  - Representative Jason Dawkins and Representative Tim Brennan|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40417|Expanding Workers  Compensation for Permanent Disfigurement|Wed, 05 Apr 2023 15:39:24 GMT|40417Expanding Workers  Compensation for Permanent Disfigurement20230405
Wednesday, April 05, 2023  - Representative Aaron Bernstine|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40416|Classifying Drag Performances as an Adult-Oriented Business|Wed, 05 Apr 2023 15:17:44 GMT|40416Classifying Drag Performances as an Adult-Oriented Business20230405
Wednesday, April 05, 2023  - Representative Tina M. Davis|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40415|Digital Vehicle Registration Cards|Wed, 05 Apr 2023 13:29:35 GMT|40415Digital Vehicle Registration Cards20230405
Tuesday, April 04, 2023  - Representative Kristine C. Howard|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40413|Getting Guns Off Our Streets (formerly HB2688)|Tue, 04 Apr 2023 18:28:34 GMT|40413Getting Guns Off Our Streets (formerly HB2688)20230404
Tuesday, April 04, 2023  - Representative Ryan A. Bizzarro and Representative Jeanne McNeill, Representative Melissa L. Shusterman|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40408|Beagle Freedom Bills|Tue, 04 Apr 2023 15:16:06 GMT|40408Beagle Freedom Bills20230404
Tuesday, April 04, 2023  - Representative Steven R. Malagari|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40404|AP Exam Cost Reduction|Tue, 04 Apr 2023 13:57:20 GMT|40404AP Exam Cost Reduction20230404
Tuesday, April 04, 2023  - Representative Robert Leadbeter and Representative Joe Hamm, Representative David H. Rowe|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40405|Beneficial Reuse of Drill Cuttings|Tue, 04 Apr 2023 13:33:05 GMT|40405Beneficial Reuse of Drill Cuttings20230404
Monday, April 03, 2023  - Representative Robert F. Matzie|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40401|Chapter 14 Reauthorization|Mon, 03 Apr 2023 20:32:44 GMT|40401Chapter 14 Reauthorization20230403
Monday, April 03, 2023  - Representative Leanne Krueger|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40395|Co-Sponsorship: Prohibiting Wildlife Trafficking in Pennsylvania|Mon, 03 Apr 2023 18:29:19 GMT|40395Co-Sponsorship: Prohibiting Wildlife Trafficking in Pennsylvania20230403
Monday, April 03, 2023  - Representative Christopher M. Rabb|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40392|Transitioning Pennsylvania to 100 percent renewable energy by 2050|Mon, 03 Apr 2023 17:43:38 GMT|40392Transitioning Pennsylvania to 100 percent renewable energy by 205020230403
Monday, April 03, 2023  - Representative Dan L. Miller and Representative Natalie Mihalek|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40391|Modernizing Urban Search and Rescue Operations in Western PA|Mon, 03 Apr 2023 17:10:24 GMT|40391Modernizing Urban Search and Rescue Operations in Western PA20230403
Monday, April 03, 2023  - Representative Malcolm Kenyatta and Representative Donna Bullock, Representative Danilo Burgos|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40390|Increasing State Oversight of Temple University|Mon, 03 Apr 2023 17:03:34 GMT|40390Increasing State Oversight of Temple University20230403
Monday, April 03, 2023  - Representative Craig T. Staats and Representative Shelby Labs, Representative Kathleen C. Tomlinson, Representative Joe Hogan, Representative Kristin Marcell|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40389|National Public Safety Telecommunications Week -- April 9th - 15th|Mon, 03 Apr 2023 16:38:53 GMT|40389National Public Safety Telecommunications Week -- April 9th - 15th20230403
Monday, April 03, 2023  - Representative Ed Neilson|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=H&SPick=20230&cosponId=40387|Long Term Care Trust Act (Formerly HB 2779)|Mon, 03 Apr 2023 13:40:34 GMT|40387Long Term Care Trust Act (Formerly HB 2779)20230403
