title|link|summary|published|id
Daily Session Report for Monday, March 13, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230313.htm|The House Daily Session Report for Monday, March 13, 2023|Mon, 13 Mar 2023 16:42:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230313.htm#20230313124200
Daily Session Report for Wednesday, March 08, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230308.htm|The House Daily Session Report for Wednesday, March 08, 2023|Wed, 08 Mar 2023 20:18:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230308.htm#20230308031800
Daily Session Report for Tuesday, March 07, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230307.htm|The House Daily Session Report for Tuesday, March 07, 2023|Tue, 07 Mar 2023 22:18:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230307.htm#20230307051800
Daily Session Report for Monday, March 06, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230306.htm|The House Daily Session Report for Monday, March 06, 2023|Mon, 06 Mar 2023 21:22:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230306.htm#20230306042200
Daily Session Report for Thursday, March 02, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230302.htm|The House Daily Session Report for Thursday, March 02, 2023|Mon, 06 Mar 2023 15:16:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230302.htm#20230306101600
Daily Session Report for Wednesday, March 01, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230301.htm|The House Daily Session Report for Wednesday, March 01, 2023|Wed, 01 Mar 2023 21:00:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230301.htm#20230301040000
Daily Session Report for Tuesday, February 28, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230228.htm|The House Daily Session Report for Tuesday, February 28, 2023|Tue, 28 Feb 2023 19:51:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230228.htm#20230228025100
Daily Session Report for Friday, February 24, 2023 (Special Session 1)|https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230224.htm|The House Daily Session Report for Friday, February 24, 2023 (Special Session 1)|Fri, 24 Feb 2023 17:06:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230224.htm#20230224120600
Daily Session Report for Thursday, February 23, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230223.htm|The House Daily Session Report for Thursday, February 23, 2023|Thu, 23 Feb 2023 21:05:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230223.htm#20230223040500
Daily Session Report for Thursday, February 23, 2023 (Special Session 1)|https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230223.htm|The House Daily Session Report for Thursday, February 23, 2023 (Special Session 1)|Fri, 24 Feb 2023 17:06:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230223.htm#20230224120600
Daily Session Report for Tuesday, February 21, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230221.htm|The House Daily Session Report for Tuesday, February 21, 2023|Fri, 24 Feb 2023 17:05:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230221.htm#20230224120500
Daily Session Report for Tuesday, February 21, 2023 (Special Session 1)|https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230221.htm|The House Daily Session Report for Tuesday, February 21, 2023 (Special Session 1)|Fri, 24 Feb 2023 17:05:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/1/20230221.htm#20230224120500
Daily Session Report for Tuesday, January 03, 2023|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230103.htm|The House Daily Session Report for Tuesday, January 03, 2023|Wed, 04 Jan 2023 20:04:00 GMT|https://www.legis.state.pa.us/WU01/LI/HS/2023/0/20230103.htm#20230104030400
