title|link|summary|published|id
Tuesday, March 07, 2023  - MASTER ROLL CALL|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=14|201 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Tue, 07 Mar 2023 14:08:23 GMT|14MASTER ROLL CALL20230307
Tuesday, March 07, 2023  - HB 2 PN 5, FINAL PASSAGE|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=15|134 YEAS *** 67 NAYS *** 1 LVE *** 0 N/V|Tue, 07 Mar 2023 14:39:55 GMT|15HB 2 PN 5, FINAL PASSAGE20230307
Monday, March 06, 2023  - MASTER ROLL CALL|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=12|201 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Mon, 06 Mar 2023 17:20:08 GMT|12MASTER ROLL CALL20230306
Monday, March 06, 2023  - HB 2 PN 5, 2023 A149|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=13|85 YEAS *** 116 NAYS *** 1 LVE *** 0 N/V|Mon, 06 Mar 2023 19:00:49 GMT|13HB 2 PN 5, 2023 A14920230306
Wednesday, March 01, 2023  - MASTER ROLL CALL|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=7|202 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Wed, 01 Mar 2023 16:09:14 GMT|7MASTER ROLL CALL20230301
Wednesday, March 01, 2023  - HR 9 PN 3, MOTION TO POSTPONE|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=8|99 YEAS *** 102 NAYS *** 1 LVE *** 0 N/V|Wed, 01 Mar 2023 16:35:02 GMT|8HR 9 PN 3, MOTION TO POSTPONE20230301
Wednesday, March 01, 2023  - HR 9 PN 3|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=9|102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V|Wed, 01 Mar 2023 17:05:54 GMT|9HR 9 PN 320230301
Wednesday, March 01, 2023  - HR 1 PN 2|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=10|102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V|Wed, 01 Mar 2023 17:51:19 GMT|10HR 1 PN 220230301
Wednesday, March 01, 2023  -  MOTION TO APPEAL RULING OF THE CHAIR|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=11|102 YEAS *** 100 NAYS *** 0 LVE *** 0 N/V|Wed, 01 Mar 2023 18:04:08 GMT|11 MOTION TO APPEAL RULING OF THE CHAIR20230301
Tuesday, February 28, 2023  - MASTER ROLL CALL|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=5|202 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Tue, 28 Feb 2023 16:18:24 GMT|5MASTER ROLL CALL20230228
Tuesday, February 28, 2023  -  ELECT SPEAKER|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=H&rc_nbr=6|102 YEAS *** 99 NAYS *** 1 LVE *** 0 N/V|Tue, 28 Feb 2023 16:56:43 GMT|6 ELECT SPEAKER20230228
Friday, February 24, 2023  (Special Session 1) - MASTER ROLL CALL|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=1&rc_body=H&rc_nbr=15|201 YEAS *** 0 NAYS *** 2 LVE *** 0 N/V|Fri, 24 Feb 2023 14:40:48 GMT|15MASTER ROLL CALL20230224
Friday, February 24, 2023  (Special Session 1) - HB 1 PN 6, FINAL PASSAGE|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=1&rc_body=H&rc_nbr=16|161 YEAS *** 40 NAYS *** 2 LVE *** 0 N/V|Fri, 24 Feb 2023 15:20:58 GMT|16HB 1 PN 6, FINAL PASSAGE20230224
Friday, February 24, 2023  (Special Session 1) - HB 2 PN 8, FINAL PASSAGE|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=1&rc_body=H&rc_nbr=17|134 YEAS *** 67 NAYS *** 2 LVE *** 0 N/V|Fri, 24 Feb 2023 16:00:08 GMT|17HB 2 PN 8, FINAL PASSAGE20230224
Thursday, February 23, 2023  (Special Session 1) - MASTER ROLL CALL|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=1&rc_body=H&rc_nbr=11|201 YEAS *** 0 NAYS *** 2 LVE *** 0 N/V|Thu, 23 Feb 2023 16:50:42 GMT|11MASTER ROLL CALL20230223
