title|link|summary|published|id
Thursday, April 06, 2023  - Senator Judith L. Schwank|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40440|Primary Care Investment Task Force|Thu, 06 Apr 2023 17:57:07 GMT|40440Primary Care Investment Task Force20230406
Thursday, April 06, 2023  - Senator Judith L. Schwank|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40439|Yearly Land Rent Increase Cap for Manufactured Homes|Thu, 06 Apr 2023 17:45:57 GMT|40439Yearly Land Rent Increase Cap for Manufactured Homes20230406
Wednesday, April 05, 2023  - Senator Vincent J. Hughes and Senator Jimmy Dillon, Senator Nick Miller|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40426|Small Business Fee Exemption|Wed, 05 Apr 2023 19:01:27 GMT|40426Small Business Fee Exemption20230405
Wednesday, April 05, 2023  - Senator Jimmy Dillon and Senator Vincent J. Hughes, Senator Nick Miller|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40425|Small Business Tax-Deferred Savings Accounts|Wed, 05 Apr 2023 19:00:12 GMT|40425Small Business Tax-Deferred Savings Accounts20230405
Wednesday, April 05, 2023  - Senator Jarrett Coleman|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40424|Performance audit of the Allentown Neighborhood Improvement Zone|Wed, 05 Apr 2023 18:00:29 GMT|40424Performance audit of the Allentown Neighborhood Improvement Zone20230405
Wednesday, April 05, 2023  - Senator Michele Brooks|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40423|Allowing Additional Highly-Qualified Individuals to Obtain Career and Technical Instructional I Certificates|Wed, 05 Apr 2023 17:51:10 GMT|40423Allowing Additional Highly-Qualified Individuals to Obtain Career and Technical Instructional I Certificates20230405
Wednesday, April 05, 2023  - Senator Doug Mastriano|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40422|Banning the use of gene therapy products in our food supply|Wed, 05 Apr 2023 17:49:23 GMT|40422Banning the use of gene therapy products in our food supply20230405
Wednesday, April 05, 2023  - Senator John I. Kane|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40419|Wiretap Law Amendments   Home Security Systems|Wed, 05 Apr 2023 16:41:27 GMT|40419Wiretap Law Amendments   Home Security Systems20230405
Wednesday, April 05, 2023  - Senator Jarrett Coleman|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40418|Streamlining the deployment of broadband infrastructure|Wed, 05 Apr 2023 16:24:20 GMT|40418Streamlining the deployment of broadband infrastructure20230405
Tuesday, April 04, 2023  - Senator Elder A. Vogel, Jr.|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40414|"Designating June 2023 as ""Dairy Month"" in Pennsylvania"|Tue, 04 Apr 2023 18:42:32 GMT|"40414Designating June 2023 as ""Dairy Month"" in Pennsylvania20230404"
Tuesday, April 04, 2023  - Senator Ryan P. Aument and Senator Wayne D. Fontana|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40411|Legionnaires Disease Risk Management Legislation|Tue, 04 Apr 2023 16:08:31 GMT|40411Legionnaires Disease Risk Management Legislation20230404
Tuesday, April 04, 2023  - Senator Mike Regan|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40410|Right-to-Repair|Tue, 04 Apr 2023 15:51:24 GMT|40410Right-to-Repair20230404
Tuesday, April 04, 2023  - Senator Lisa M. Boscola and Senator Devlin J. Robinson|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40409|Resolution Designating April 2023 as Pennsylvania Community College Month|Tue, 04 Apr 2023 15:42:10 GMT|40409Resolution Designating April 2023 as Pennsylvania Community College Month20230404
Tuesday, April 04, 2023  - Senator Carolyn T. Comitta|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40407|Protection of Dogs and Cats|Tue, 04 Apr 2023 15:02:42 GMT|40407Protection of Dogs and Cats20230404
Tuesday, April 04, 2023  - Senator Christine M. Tartaglione|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40406|"Recognizing May 2023 as ""Older Americans Month"""|Tue, 04 Apr 2023 13:58:40 GMT|"40406Recognizing May 2023 as ""Older Americans Month""20230404"
Tuesday, April 04, 2023  - Senator Devlin J. Robinson and Senator Jay Costa|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40403|Urban Search and Rescue Operation in Western PA|Tue, 04 Apr 2023 13:30:54 GMT|40403Urban Search and Rescue Operation in Western PA20230404
Monday, April 03, 2023  - Senator Nikil Saval and Senator Sharif Street|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40402|Arab American Heritage Month|Mon, 03 Apr 2023 20:56:05 GMT|40402Arab American Heritage Month20230403
Monday, April 03, 2023  - Senator Mike Regan|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40400|Retired PA State Troopers COLA|Mon, 03 Apr 2023 20:04:10 GMT|40400Retired PA State Troopers COLA20230403
Monday, April 03, 2023  - Senator Mike Regan|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40399|Second Class Township Auditor Compensation|Mon, 03 Apr 2023 20:03:02 GMT|40399Second Class Township Auditor Compensation20230403
Monday, April 03, 2023  - Senator Mike Regan|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40398|Coroners Education and Training Board|Mon, 03 Apr 2023 20:00:05 GMT|40398Coroners Education and Training Board20230403
Monday, April 03, 2023  - Senator Mike Regan|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40397|Armed School Security|Mon, 03 Apr 2023 19:51:45 GMT|40397Armed School Security20230403
Monday, April 03, 2023  - Senator Amanda M. Cappelletti and Senator Katie J. Muth|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40396|Go 100% Pennsylvania|Mon, 03 Apr 2023 18:32:30 GMT|40396Go 100% Pennsylvania20230403
Monday, April 03, 2023  - Senator Cris Dush|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40394|Auditor General Enhancement Standards|Mon, 03 Apr 2023 18:29:33 GMT|40394Auditor General Enhancement Standards20230403
Monday, April 03, 2023  - Senator Cris Dush|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40393|Placing Constitutional Limits on Interstate Compacts|Mon, 03 Apr 2023 18:27:47 GMT|40393Placing Constitutional Limits on Interstate Compacts20230403
Monday, April 03, 2023  - Senator Amanda M. Cappelletti and Senator Nikil Saval, Senator Jimmy Dillon|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40388|A Resolution recognizing the month of April 2023 as Fair Housing Month in Pennsylvania|Mon, 03 Apr 2023 14:30:31 GMT|40388A Resolution recognizing the month of April 2023 as Fair Housing Month in Pennsylvania20230403
Monday, April 03, 2023  - Senator Lisa Baker|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40382|Wiretap Act Extension|Mon, 03 Apr 2023 11:28:16 GMT|40382Wiretap Act Extension20230403
Friday, March 31, 2023  - Senator Vincent J. Hughes and Senator Wayne D. Fontana, Senator Lisa M. Boscola, Senator James R. Brewster, Senator Amanda M. Cappelletti, Senator Maria Collett, Senator Carolyn T. Comitta, Senator Jay Costa, Senator Jimmy Dillon, Senator Marty Flynn, Senator Art Haywood, Senator John I. Kane, Senator Timothy P. Kearney, Senator Nick Miller, Senator Katie J. Muth, Senator Steven J. Santarsiero, Senator Nikil Saval, Senator Judith L. Schwank, Senator Sharif Street, Senator Christine M. Tartaglione, Senator Anthony H. Williams, Senator Lindsey M. Williams|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40381|Prohibiting Annual or Lifetime Limits on Health Insurance Policies|Fri, 31 Mar 2023 19:56:55 GMT|40381Prohibiting Annual or Lifetime Limits on Health Insurance Policies20230331
Friday, March 31, 2023  - Senator Vincent J. Hughes and Senator Timothy P. Kearney, Senator Lisa M. Boscola, Senator James R. Brewster, Senator Amanda M. Cappelletti, Senator Maria Collett, Senator Carolyn T. Comitta, Senator Jay Costa, Senator Jimmy Dillon, Senator Marty Flynn, Senator Wayne D. Fontana, Senator Art Haywood, Senator John I. Kane, Senator Nick Miller, Senator Katie J. Muth, Senator Steven J. Santarsiero, Senator Nikil Saval, Senator Judith L. Schwank, Senator Sharif Street, Senator Christine M. Tartaglione, Senator Anthony H. Williams, Senator Lindsey M. Williams|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40380|Protecting the Essential Health Benefits for Insurance Policies sold in Pennsylvania|Fri, 31 Mar 2023 19:54:42 GMT|40380Protecting the Essential Health Benefits for Insurance Policies sold in Pennsylvania20230331
Friday, March 31, 2023  - Senator Vincent J. Hughes and Senator Maria Collett, Senator Lisa M. Boscola, Senator James R. Brewster, Senator Amanda M. Cappelletti, Senator Carolyn T. Comitta, Senator Jay Costa, Senator Jimmy Dillon, Senator Marty Flynn, Senator Wayne D. Fontana, Senator Art Haywood, Senator John I. Kane, Senator Timothy P. Kearney, Senator Nick Miller, Senator Katie J. Muth, Senator Steven J. Santarsiero, Senator Nikil Saval, Senator Judith L. Schwank, Senator Sharif Street, Senator Christine M. Tartaglione, Senator Anthony H. Williams, Senator Lindsey M. Williams|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40379|Protecting Insurance Coverage for Individuals with Pre-existing Conditions|Fri, 31 Mar 2023 19:52:53 GMT|40379Protecting Insurance Coverage for Individuals with Pre-existing Conditions20230331
Thursday, March 30, 2023  - Senator Vincent J. Hughes|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40369|Protections against predatory medical debt collections|Thu, 30 Mar 2023 20:28:55 GMT|40369Protections against predatory medical debt collections20230330
