title|link|summary|published|id
Amendment 162 to Senate Bill 137 Printer's Number 116|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=137&pn=0116&ayear=2023&an=00162|Filed on 3/7/2023 for Senator J. WARD|Tue, 07 Mar 2023 15:48:25 GMT|SB137P0116A162
Amendment 160 to Senate Bill 144 Printer's Number 119|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=144&pn=0119&ayear=2023&an=00160|Filed on 3/6/2023 for Senator YAW|Mon, 06 Mar 2023 15:48:21 GMT|SB144P0119A160
Amendment 140 to Senate Bill 143 Printer's Number 154|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=143&pn=0154&ayear=2023&an=00140|Filed on 3/6/2023 for Senator BROWN|Mon, 06 Mar 2023 12:27:31 GMT|SB143P0154A140
Amendment 93 to Senate Bill 298 Printer's Number 248|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=298&pn=0248&ayear=2023&an=00093|Filed on 3/1/2023 for Senator LANGERHOLC|Wed, 01 Mar 2023 13:03:26 GMT|SB298P0248A93
Amendment 88 to Senate Bill 459 Printer's Number 380|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=459&pn=0380&ayear=2023&an=00088|Filed on 3/1/2023 for Senator ROTHMAN|Wed, 01 Mar 2023 13:03:26 GMT|SB459P0380A88
Amendment 20 to Senate Bill 35 Printer's Number 13|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=35&pn=0013&ayear=2023&an=00020|Filed on 1/11/2023 for Senator HUGHES|Wed, 11 Jan 2023 11:42:35 GMT|SB35P0013A20
Amendment 18 to Senate Bill 1 Printer's Number 26|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00018|Filed on 1/11/2023 for Senator BOSCOLA|Wed, 11 Jan 2023 11:41:58 GMT|SB1P0026A18
Amendment 17 to Senate Bill 1 Printer's Number 26|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00017|Filed on 1/11/2023 for Senator BOSCOLA|Wed, 11 Jan 2023 11:41:33 GMT|SB1P0026A17
Amendment 16 to Senate Bill 1 Printer's Number 26|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0026&ayear=2023&an=00016|Filed on 1/11/2023 for Senator BOSCOLA|Wed, 11 Jan 2023 11:40:45 GMT|SB1P0026A16
Amendment 13 to Senate Bill 1 Printer's Number 22|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0022&ayear=2023&an=00013|Filed on 1/10/2023 for Senator PITTMAN|Tue, 10 Jan 2023 17:08:40 GMT|SB1P0022A13
Amendment 4 to Senate Bill 1 Printer's Number 14|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=S&type=B&bn=1&pn=0014&ayear=2023&an=00004|Filed on 1/9/2023 for Senator DUSH|Mon, 09 Jan 2023 16:57:42 GMT|SB1P0014A4
