title|link|summary|published|id
Wednesday, March 08, 2023  -  Approval of the Previous Days Journal January 13, 17, 18, 2023|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=45|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 16:20:54 GMT|45 Approval of the Previous Days Journal January 13, 17, 18, 202320230308
Wednesday, March 08, 2023  - SB 143 PN 388, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=46|40 YEAS *** 9 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:21:55 GMT|46SB 143 PN 388, Final Passage20230308
Wednesday, March 08, 2023  - SB 379 PN 272, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=47|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:26:17 GMT|47SB 379 PN 272, Final Passage20230308
Wednesday, March 08, 2023  - SB 126 PN 16, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=48|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:34:06 GMT|48SB 126 PN 16, Final Passage20230308
Wednesday, March 08, 2023  - SB 162 PN 43, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=49|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:36:19 GMT|49SB 162 PN 43, Final Passage20230308
Wednesday, March 08, 2023  - SB 211 PN 180, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=50|36 YEAS *** 13 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:43:30 GMT|50SB 211 PN 180, Final Passage20230308
Wednesday, March 08, 2023  -  Executive Nominations, State Police Commissioner Christopher L. Paris|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=51|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:46:34 GMT|51 Executive Nominations, State Police Commissioner Christopher L. Paris20230308
Wednesday, March 08, 2023  -  Executive Nominations, Attorney General Michelle A. Henry|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=52|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 08 Mar 2023 17:47:36 GMT|52 Executive Nominations, Attorney General Michelle A. Henry20230308
Tuesday, March 07, 2023  -  Weekly Recess|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=40|50 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Tue, 07 Mar 2023 16:12:04 GMT|40 Weekly Recess20230307
Tuesday, March 07, 2023  - SB 144 PN 390, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=41|36 YEAS *** 14 NAYS *** 0 LVE *** 0 N/V|Tue, 07 Mar 2023 20:47:52 GMT|41SB 144 PN 390, Final Passage20230307
